  ( 1, 5) T=  1.0  tf=0.66419 (2.944 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T= 15.0  tf=0.15230 (0.675 d)  fly=0.00km  acc=0.0e+00  OK (77s)
  ( 2, 5) T= 12.0  tf=0.17170 (0.761 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T= 10.0  tf=0.18912 (0.838 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 5) T=  7.0  tf=0.22780 (1.010 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  5.0  tf=0.27059 (1.199 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  3.0  tf=0.34949 (1.549 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  2.0  tf=0.42663 (1.891 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  1.5  tf=0.49110 (2.177 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  1.0  tf=0.60033 (2.661 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 4 cells]
THRUST LADDER DONE: 175 verified entries over 14 cells, 4.0 min
THRUST LADDER: 10 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (26 cells resumed/skipped)
  ( 3, 5) T= 15.0  tf=0.13244 (0.587 d)  fly=0.00km  acc=0.0e+00  OK (46s)
  ( 3, 5) T= 12.0  tf=0.14870 (0.659 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 5) T= 10.0  tf=0.16326 (0.724 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  7.0  tf=0.19537 (0.866 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  5.0  tf=0.23063 (1.022 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  3.0  tf=0.29519 (1.308 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  2.0  tf=0.35834 (1.588 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  1.5  direct fail (defect 5.0e-08) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 182 verified entries over 10 cells, 4.1 min
THRUST LADDER: 9 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (27 cells resumed/skipped)
  ( 4, 5) T= 15.0  tf=0.13420 (0.595 d)  fly=0.00km  acc=0.0e+00  OK (44s)
  ( 4, 5) T= 12.0  tf=0.15212 (0.674 d)  fly=0.02km  acc=NaN  fail (8s)
  ( 4, 5) T= 10.0  tf=0.16775 (0.744 d)  fly=0.03km  acc=NaN  fail (4s)
  ( 4, 5) T=  7.0  tf=0.20282 (0.899 d)  fly=0.00km  acc=0.0e+00  OK (3s)
