  ( 1, 5) T= 15.0  tf=0.12594 (0.558 d)  fly=0.00km  acc=0.0e+00  OK (23s)
  ( 1, 5) T= 12.0  tf=0.14210 (0.630 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 5) T= 10.0  tf=0.15674 (0.695 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  7.0  tf=0.18973 (0.841 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  5.0  tf=0.22719 (1.007 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  3.0  tf=0.29985 (1.329 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  2.0  tf=0.37767 (1.674 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  1.5  tf=0.45103 (1.999 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  1.0  tf=0.60882 (2.699 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T= 15.0  tf=0.11256 (0.499 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 2, 5) T= 12.0  tf=0.12664 (0.561 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 5) T= 10.0  tf=0.13936 (0.618 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  7.0  tf=0.16786 (0.744 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  5.0  tf=0.19996 (0.886 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 5) T=  3.0  tf=0.26159 (1.160 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  2.0  tf=0.32703 (1.450 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  1.5  tf=0.38882 (1.724 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  1.0  tf=0.52559 (2.330 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T= 15.0  tf=0.10808 (0.479 d)  fly=0.00km  acc=0.0e+00  OK (25s)
  ( 3, 5) T= 12.0  tf=0.12133 (0.538 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T= 10.0  tf=0.13324 (0.591 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  7.0  tf=0.15977 (0.708 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  5.0  tf=0.18938 (0.839 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  3.0  tf=0.24541 (1.088 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  2.0  tf=0.30367 (1.346 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  1.5  tf=0.35711 (1.583 d)  fly=0.00km  acc=NaN  fail (1s)
  ( 3, 5) T=  1.0  tf=0.46575 (2.065 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T= 15.0  tf=0.13029 (0.578 d)  fly=0.00km  acc=0.0e+00  OK (39s)
  ( 4, 5) T= 12.0  tf=0.14591 (0.647 d)  fly=0.00km  acc=0.0e+00  OK (2s)
