THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 5) T=  2.0  tf=0.21238 (0.941 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  1.5  tf=0.23859 (1.058 d)  fly=0.00km  acc=0.0e+00  OK (1s)
THRUST LADDER: 11 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (25 cells resumed/skipped)
  ( 2, 5) T= 15.0  tf=0.07674 (0.340 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 2, 5) T= 12.0  tf=0.08541 (0.379 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 5) T= 10.0  tf=0.09313 (0.413 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  7.0  tf=0.11009 (0.488 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  5.0  tf=0.12874 (0.571 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 5) T=  3.0  tf=0.16393 (0.727 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  2.0  tf=0.20244 (0.897 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  1.5  tf=0.24350 (1.079 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 5) T=  1.0  tf=0.39892 (1.768 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 3, 5) T= 15.0  tf=0.07586 (0.336 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  ( 3, 5) T= 12.0  tf=0.08586 (0.381 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T= 10.0  tf=0.09510 (0.422 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  7.0  tf=0.11669 (0.517 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  5.0  tf=0.14282 (0.633 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  3.0  tf=0.20078 (0.890 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  2.0  tf=0.28076 (1.245 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 5) T=  1.5  tf=0.38252 (1.696 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 5) T=  1.0  tf=0.66176 (2.933 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 5) T= 15.0  tf=0.33848 flown 116210.5 km > gate -- ladder stops
  ( 5, 5) T= 15.0  tf=0.10119 (0.449 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 5, 5) T= 12.0  tf=0.11427 (0.507 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 5) T= 10.0  tf=0.12615 (0.559 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 5) T=  7.0  tf=0.15307 (0.678 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 5) T=  5.0  tf=0.18405 (0.816 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 5) T=  3.0  tf=0.24646 (1.092 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 5) T=  2.0  tf=0.31638 (1.402 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 5) T=  1.5  tf=0.30704 (1.361 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 5) T=  1.0  tf=0.38364 (1.701 d)  fly=0.00km  acc=0.0e+00  OK (20s)
  ( 6, 5) T= 15.0  tf=0.09937 (0.440 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 6, 5) T= 12.0  tf=0.11115 (0.493 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 5) T= 10.0  tf=0.12162 (0.539 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 5) T=  7.0  tf=0.14446 (0.640 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 5) T=  5.0  tf=0.16911 (0.750 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 5) T=  3.0  tf=0.21324 (0.945 d)  fly=0.00km  acc=0.0e+00  OK (54s)
  ( 6, 5) T=  2.0  tf=0.25594 (1.134 d)  fly=0.00km  acc=0.0e+00  OK (34s)
  ( 6, 5) T=  1.5  tf=0.29270 (1.297 d)  fly=0.00km  acc=0.0e+00  OK (17s)
  ( 6, 5) T=  1.0  tf=0.36054 (1.598 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 6) T= 15.0  tf=0.07423 (0.329 d)  fly=0.00km  acc=0.0e+00  OK (17s)
  ( 1, 6) T= 12.0  tf=0.08251 (0.366 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 6) T= 10.0  tf=0.08989 (0.398 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 6) T=  7.0  tf=0.10610 (0.470 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 6) T=  5.0  tf=0.12406 (0.550 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 6) T=  3.0  tf=0.15891 (0.704 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 6) T=  2.0  tf=0.19990 (0.886 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 1, 6) T=  1.5  tf=0.24803 (1.099 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 6) T=  1.0  tf=0.43061 (1.909 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 6 cells]
THRUST LADDER DONE: 189 verified entries over 11 cells, 4.6 min
THRUST LADDER: 6 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (30 cells resumed/skipped)
